UE ID,Internet usage,Data rate,optimal GU
1,2592.2596961540003,354.89269649727385,959.1527686397495
2,3136.087021907,429.34524704679166,1160.372378670269
3,2753.688978069,376.99313390230355,1018.8826417377342
4,2957.9194759049997,404.95326158223213,1094.4492401501936
5,2590.8053899929996,354.69359505856545,958.6146660017913
6,2666.887348836,365.1095775192143,986.7654803573388
7,2872.551133831,393.2659290363869,1062.86240424176
8,2462.360916054,337.1089349359643,911.0893841105325
9,2597.462312204,355.60495940888103,961.0777700568262
10,2602.389768823,356.2795516841012,962.9009607137954
11,2677.014370283,366.49601497922026,990.5125434596102
12,2418.0736016929995,331.0457907079702,894.7027928102875
13,2771.071741328,379.3729169675238,1025.314376000785
14,2730.3804539139996,373.8020859525119,1010.2583378111855
15,2621.6555713580005,358.91713179305964,970.0294316262309
16,2599.629052238,355.90159643734523,961.8794778122709
17,2622.3917433919996,359.0179172500952,970.3018200160411
18,2788.534323045,381.76362755973213,1031.7756436069233
19,2777.5965356459997,380.2661923801071,1027.728591885173
20,2607.895223837,357.03327469197023,964.9380144963058
